Monthly Plan,Genre,Quality,Devices,Download,Regional Availability
"$5.99","Action & Adventure","Full HD, HD","3 devices","Yes","Canada"
"","Animation",,"","",""
"","Award Shows",,"","",""
"","Biography",,"","",""
"","Comedy",,"","",""
"","Concerts & Performances",,"","",""
"","Drama",,"","",""
"","Education",,"","",""
"","Horror",,"","",""
"","Interview & Talk-Show",,"","",""
"","Lifestyle & Reality",,"","",""
"","Music",,"","",""
"","Mystery & Crime",,"","",""
"","News & Current Affairs",,"","",""
"","Romance",,"","",""
"","Sci-Fi & Fantasy",,"","",""
"","Specials",,"","",""
"","Sports",,"","",""
"","Suspense",,"","",""
"","Teen",,"","",""
"","Variety show",,"","",""
"","War & Military",,"","",""
