Name,Monthly Plans,Genre,Quality,Devices,Ad,Download,Regional Availability
Basic (with ads),$6.99,Popular,full HD,1 device,Yes,No,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
Standard,$10.99,Action & Adventure,full HD,2 devices,No,Yes,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
Premium,$13.99,Kids & Family,"4K UHD, HDR10, Dolby Vision & Dolby Atmos",4 devices,No,Yes,"Australia, Austria, France, Germany, Italy, Republic of Ireland, Switzerland, United Kingdom, Canada, Mexico, United States, Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela"
,,Sci-Fi & Fantasy,,,,,
,,Comedy,,,,,
,,Documentary,,,,,
,,Drama,,,,,
,,Horror,,,,,
,,Thriller,,,,,
,,Music & Specials,,,,,
,,Indigenous Stories,,,,,
,,All Movies,,,,,
